rpm,load,target_afr,trim_percent
3000,0.60,13.388,0.000
3000,0.65,13.288,0.000
3000,0.70,13.188,0.000
3000,0.75,13.088,0.000
3000,0.80,12.988,0.000
3000,0.85,12.888,0.000
3000,0.90,12.788,0.000
3000,0.95,12.688,0.000
3000,1.00,12.588,0.000
3200,0.00,14.580,0.000
3200,0.05,14.580,0.000
3200,0.10,14.447,0.000
3200,0.15,14.313,0.000
3200,0.20,14.180,0.000
3200,0.25,14.080,0.000
3200,0.30,13.980,0.000
3200,0.35,13.880,0.000
3200,0.40,13.780,0.000
3200,0.45,13.680,0.000
3200,0.50,13.580,0.000
3200,0.55,13.480,0.000
3200,0.60,13.380,0.000
3200,0.65,13.280,0.000
3200,0.70,13.180,0.000
3200,0.75,13.080,0.000
3200,0.80,12.980,0.000
3200,0.85,12.880,0.000
3200,0.90,12.780,0.000
3200,0.95,12.680,0.000
3200,1.00,12.580,0.000
3400,0.00,14.573,0.000
3400,0.05,14.573,0.000
3400,0.10,14.440,0.000
3400,0.15,14.306,0.000
3400,0.20,14.173,0.000
3400,0.25,14.073,0.000
3400,0.30,13.973,0.000
3400,0.35,13.873,0.000
3400,0.40,13.773,0.000
3400,0.45,13.673,0.000
3400,0.50,13.573,0.000
3400,0.55,13.473,0.000
3400,0.60,13.373,0.000
3400,0.65,13.273,0.000
3400,0.70,13.173,0.000
3400,0.75,13.073,0.000
3400,0.80,12.973,0.000
3400,0.85,12.873,0.000
3400,0.90,12.773,0.000
3400,0.95,12.673,0.000
3400,1.00,12.573,0.000
3600,0.00,14.565,0.000
3600,0.05,14.565,0.000
3600,0.10,14.432,0.000
3600,0.15,14.298,0.000
3600,0.20,14.165,0.000
3600,0.25,14.065,0.000
3600,0.30,13.965,0.000
3600,0.35,13.865,0.000
3600,0.40,13.765,0.000
3600,0.45,13.665,0.000
3600,0.50,13.565,0.000
3600,0.55,13.465,0.000
3600,0.60,13.365,0.000
3600,0.65,13.265,0.000
3600,0.70,13.165,0.000
3600,0.75,13.065,0.000
3600,0.80,12.965,0.000
3600,0.85,12.865,0.000
3600,0.90,12.765,0.000
3600,0.95,12.665,0.000
3600,1.00,12.565,0.000
3800,0.00,14.558,0.000
3800,0.05,14.558,0.000
3800,0.10,14.425,0.000
3800,0.15,14.291,0.000
3800,0.20,14.158,0.000
3800,0.25,14.058,0.000
3800,0.30,13.958,0.000
3800,0.35,13.858,0.000
3800,0.40,13.758,0.000
3800,0.45,13.658,0.000
3800,0.50,13.558,0.000
3800,0.55,13.458,0.000
3800,0.60,13.358,0.000
3800,0.65,13.258,0.000
3800,0.70,13.158,0.000
3800,0.75,13.058,0.000
3800,0.80,12.958,0.000
3800,0.85,12.858,0.000
3800,0.90,12.758,0.000
3800,0.95,12.658,0.000
3800,1.00,12.558,0.000
4000,0.00,14.550,0.000
4000,0.05,14.550,0.000
4000,0.10,14.417,0.000
4000,0.15,14.283,0.000
4000,0.20,14.150,0.000
4000,0.25,14.050,0.000
4000,0.30,13.950,0.000
4000,0.35,13.850,0.000
4000,0.40,13.750,0.000
4000,0.45,13.650,0.000
4000,0.50,13.550,0.000
4000,0.55,13.450,0.000
4000,0.60,13.350,0.000
4000,0.65,13.250,0.000
4000,0.70,13.150,0.000
4000,0.75,13.050,0.000
4000,0.80,12.950,0.000
4000,0.85,12.850,0.000
4000,0.90,12.750,0.000
4000,0.95,12.650,0.000
4000,1.00,12.550,0.000
4200,0.00,14.543,0.000
4200,0.05,14.543,0.000
4200,0.10,14.410,0.000
4200,0.15,14.276,0.000
4200,0.20,14.143,0.000
4200,0.25,14.043,0.000
4200,0.30,13.943,0.000
4200,0.35,13.843,0.000
4200,0.40,13.743,0.000
4200,0.45,13.643,0.000
4200,0.50,13.543,0.000
4200,0.55,13.443,0.000
4200,0.60,13.343,0.000
4200,0.65,13.243,0.000
4200,0.70,13.143,0.000
4200,0.75,13.043,0.000
4200,0.80,12.943,0.000
4200,0.85,12.843,0.000
4200,0.90,12.743,0.000
4200,0.95,12.643,0.000
4200,1.00,12.543,0.000
4400,0.00,14.535,0.000
4400,0.05,14.535,0.000
4400,0.10,14.402,0.000
4400,0.15,14.268,0.000
4400,0.20,14.135,0.000
4400,0.25,14.035,0.000
4400,0.30,13.935,0.000
4400,0.35,13.835,0.000
4400,0.40,13.735,0.000
4400,0.45,13.635,0.000
4400,0.50,13.535,0.000
4400,0.55,13.435,0.000
4400,0.60,13.335,0.000
4400,0.65,13.235,0.000
4400,0.70,13.135,0.000
4400,0.75,13.035,0.000
4400,0.80,12.935,0.000
4400,0.85,12.835,0.000
4400,0.90,12.735,0.000
4400,0.95,12.635,0.000
4400,1.00,12.535,0.000
4600,0.00,14.528,0.000
4600,0.05,14.528,0.000
4600,0.10,14.395,0.000
4600,0.15,14.261,0.000
4600,0.20,14.128,0.000
4600,0.25,14.028,0.000
4600,0.30,13.928,0.000
4600,0.35,13.828,0.000
4600,0.40,13.728,0.000
4600,0.45,13.628,0.000
4600,0.50,13.528,0.000
4600,0.55,13.428,0.000
4600,0.60,13.328,0.000
4600,0.65,13.228,0.000
4600,0.70,13.128,0.000
4600,0.75,13.028,0.000
4600,0.80,12.928,0.000
4600,0.85,12.828,0.000
4600,0.90,12.728,0.000
4600,0.95,12.628,0.000
4600,1.00,12.528,0.000
4800,0.00,14.520,0.000
4800,0.05,14.520,0.000
4800,0.10,14.387,0.000
4800,0.15,14.253,0.000
4800,0.20,14.120,0.000
4800,0.25,14.020,0.000
4800,0.30,13.920,0.000
4800,0.35,13.820,0.000
4800,0.40,13.720,0.000
4800,0.45,13.620,0.000
4800,0.50,13.520,0.000
4800,0.55,13.420,0.000
4800,0.60,13.320,0.000
4800,0.65,13.220,0.000
4800,0.70,13.120,0.000
4800,0.75,13.020,0.000
4800,0.80,12.920,0.000
4800,0.85,12.820,0.000
4800,0.90,12.720,0.000
4800,0.95,12.620,0.000
4800,1.00,12.520,0.000
5000,0.00,14.513,0.000
5000,0.05,14.513,0.000
5000,0.10,14.380,0.000
5000,0.15,14.246,0.000
5000,0.20,14.113,0.000
5000,0.25,14.013,0.000
5000,0.30,13.913,0.000
5000,0.35,13.813,0.000
5000,0.40,13.713,0.000
5000,0.45,13.613,0.000
5000,0.50,13.513,0.000
5000,0.55,13.413,0.000
5000,0.60,13.313,0.000
5000,0.65,13.213,0.000
5000,0.70,13.113,0.000
5000,0.75,13.013,0.000
5000,0.80,12.913,0.000
5000,0.85,12.813,0.000
5000,0.90,12.713,0.000
5000,0.95,12.613,0.000
5000,1.00,12.513,0.000
5200,0.00,14.505,0.000
5200,0.05,14.505,0.000
5200,0.10,14.372,0.000
5200,0.15,14.238,0.000
5200,0.20,14.105,0.000
5200,0.25,14.005,0.000
5200,0.30,13.905,0.000
5200,0.35,13.805,0.000
